make;fuel-type;aspiration;num-of-doors;body-style;drive-wheels;engine-location;length;width;height;engine-type;num-of-cylinders;engine-size;fuel-system;horsepower;peak-rpm;city-mpg;highway-mpg;price
porsche;gas;std;2;hardtop;rwd;rear;168.9;65;51.6;ohcf;6;194;mpfi;207;5900;17;25;34028
porsche;gas;std;2;convertible;rwd;rear;168.9;65;51.6;ohcf;6;194;mpfi;207;5900;17;25;37028
porsche;gas;std;2;hatchback;rwd;front;175.7;72.3;50.5;dohcv;8;203;mpfi;288;5750;17;28;?
renault;gas;std;4;wagon;fwd;front;181.5;66.5;55.2;ohc;4;132;mpfi;?;?;23;31;9295
renault;gas;std;2;hatchback;fwd;front;176.8;66.6;50.5;ohc;4;132;mpfi;?;?;23;31;9895
saab;gas;std;2;hatchback;fwd;front;186.6;66.5;56.1;ohc;4;121;mpfi;110;5250;21;28;11850
saab;gas;std;4;sedan;fwd;front;186.6;66.5;56.1;ohc;4;121;mpfi;110;5250;21;28;12170
saab;gas;std;2;hatchback;fwd;front;186.6;66.5;56.1;ohc;4;121;mpfi;110;5250;21;28;15040
saab;gas;std;4;sedan;fwd;front;186.6;66.5;56.1;ohc;4;121;mpfi;110;5250;21;28;15510
saab;gas;turbo;2;hatchback;fwd;front;186.6;66.5;56.1;dohc;4;121;mpfi;160;5500;19;26;18150
saab;gas;turbo;4;sedan;fwd;front;186.6;66.5;56.1;dohc;4;121;mpfi;160;5500;19;26;18620
subaru;gas;std;2;hatchback;fwd;front;156.9;63.4;53.7;ohcf;4;97;2bbl;69;4900;31;36;5118
subaru;gas;std;2;hatchback;fwd;front;157.9;63.6;53.7;ohcf;4;108;2bbl;73;4400;26;31;7053
subaru;gas;std;2;hatchback;4wd;front;157.3;63.8;55.7;ohcf;4;108;2bbl;73;4400;26;31;7603
subaru;gas;std;4;sedan;fwd;front;172;65.4;52.5;ohcf;4;108;2bbl;82;4800;32;37;7126
subaru;gas;std;4;sedan;fwd;front;172;65.4;52.5;ohcf;4;108;2bbl;82;4400;28;33;7775
subaru;gas;std;4;sedan;fwd;front;172;65.4;52.5;ohcf;4;108;mpfi;94;5200;26;32;9960
subaru;gas;std;4;sedan;4wd;front;172;65.4;54.3;ohcf;4;108;2bbl;82;4800;24;25;9233
subaru;gas;turbo;4;sedan;4wd;front;172;65.4;54.3;ohcf;4;108;mpfi;111;4800;24;29;11259
subaru;gas;std;4;wagon;fwd;front;173.5;65.4;53;ohcf;4;108;2bbl;82;4800;28;32;7463
subaru;gas;std;4;wagon;fwd;front;173.5;65.4;53;ohcf;4;108;mpfi;94;5200;25;31;10198
subaru;gas;std;4;wagon;4wd;front;173.6;65.4;54.9;ohcf;4;108;2bbl;82;4800;23;29;8013
subaru;gas;turbo;4;wagon;4wd;front;173.6;65.4;54.9;ohcf;4;108;mpfi;111;4800;23;23;11694
toyota;gas;std;2;hatchback;fwd;front;158.7;63.6;54.5;ohc;4;92;2bbl;62;4800;35;39;5348
toyota;gas;std;2;hatchback;fwd;front;158.7;63.6;54.5;ohc;4;92;2bbl;62;4800;31;38;6338
toyota;gas;std;4;hatchback;fwd;front;158.7;63.6;54.5;ohc;4;92;2bbl;62;4800;31;38;6488
toyota;gas;std;4;wagon;fwd;front;169.7;63.6;59.1;ohc;4;92;2bbl;62;4800;31;37;6918
toyota;gas;std;4;wagon;4wd;front;169.7;63.6;59.1;ohc;4;92;2bbl;62;4800;27;32;7898
toyota;gas;std;4;wagon;4wd;front;169.7;63.6;59.1;ohc;4;92;2bbl;62;4800;27;32;8778
toyota;gas;std;4;sedan;fwd;front;166.3;64.4;53;ohc;4;98;2bbl;70;4800;30;37;6938
toyota;gas;std;4;hatchback;fwd;front;166.3;64.4;52.8;ohc;4;98;2bbl;70;4800;30;37;7198
toyota;diesel;std;4;sedan;fwd;front;166.3;64.4;53;ohc;4;110;idi;56;4500;34;36;7898
toyota;diesel;std;4;hatchback;fwd;front;166.3;64.4;52.8;ohc;4;110;idi;56;4500;38;47;7788
toyota;gas;std;4;sedan;fwd;front;166.3;64.4;53;ohc;4;98;2bbl;70;4800;38;47;7738
toyota;gas;std;4;hatchback;fwd;front;166.3;64.4;52.8;ohc;4;98;2bbl;70;4800;28;34;8358
toyota;gas;std;4;sedan;fwd;front;166.3;64.4;52.8;ohc;4;98;2bbl;70;4800;28;34;9258
toyota;gas;std;2;sedan;rwd;front;168.7;64;52.6;ohc;4;98;2bbl;70;4800;29;34;8058
toyota;gas;std;2;hatchback;rwd;front;168.7;64;52.6;ohc;4;98;2bbl;70;4800;29;34;8238
toyota;gas;std;2;sedan;rwd;front;168.7;64;52.6;dohc;4;98;mpfi;112;6600;26;29;9298
toyota;gas;std;2;hatchback;rwd;front;168.7;64;52.6;dohc;4;98;mpfi;112;6600;26;29;9538
toyota;gas;std;2;hardtop;rwd;front;176.2;65.6;52;ohc;4;146;mpfi;116;4800;24;30;8449
toyota;gas;std;2;hardtop;rwd;front;176.2;65.6;52;ohc;4;146;mpfi;116;4800;24;30;9639
toyota;gas;std;2;hatchback;rwd;front;176.2;65.6;52;ohc;4;146;mpfi;116;4800;24;30;9989
toyota;gas;std;2;hardtop;rwd;front;176.2;65.6;52;ohc;4;146;mpfi;116;4800;24;30;11199
toyota;gas;std;2;hatchback;rwd;front;176.2;65.6;52;ohc;4;146;mpfi;116;4800;24;30;11549
toyota;gas;std;2;convertible;rwd;front;176.2;65.6;53;ohc;4;146;mpfi;116;4800;24;30;17669
toyota;gas;std;4;sedan;fwd;front;175.6;66.5;54.9;ohc;4;122;mpfi;92;4200;29;34;8948
toyota;diesel;turbo;4;sedan;fwd;front;175.6;66.5;54.9;ohc;4;110;idi;73;4500;30;33;10698
toyota;gas;std;4;hatchback;fwd;front;175.6;66.5;53.9;ohc;4;122;mpfi;92;4200;27;32;9988
toyota;gas;std;4;sedan;fwd;front;175.6;66.5;54.9;ohc;4;122;mpfi;92;4200;27;32;10898
toyota;gas;std;4;hatchback;fwd;front;175.6;66.5;53.9;ohc;4;122;mpfi;92;4200;27;32;11248
toyota;gas;std;2;hatchback;rwd;front;183.5;67.7;52;dohc;6;171;mpfi;161;5200;20;24;16558
toyota;gas;std;2;hatchback;rwd;front;183.5;67.7;52;dohc;6;171;mpfi;161;5200;19;24;15998
toyota;gas;std;4;sedan;rwd;front;187.8;66.5;54.1;dohc;6;171;mpfi;156;5200;20;24;15690
toyota;gas;std;4;wagon;rwd;front;187.8;66.5;54.1;dohc;6;161;mpfi;156;5200;19;24;15750
volkswagen;diesel;std;2;sedan;fwd;front;171.7;65.5;55.7;ohc;4;97;idi;52;4800;37;46;7775
volkswagen;gas;std;2;sedan;fwd;front;171.7;65.5;55.7;ohc;4;109;mpfi;85;5250;27;34;7975
volkswagen;diesel;std;4;sedan;fwd;front;171.7;65.5;55.7;ohc;4;97;idi;52;4800;37;46;7995
volkswagen;gas;std;4;sedan;fwd;front;171.7;65.5;55.7;ohc;4;109;mpfi;85;5250;27;34;8195
volkswagen;gas;std;4;sedan;fwd;front;171.7;65.5;55.7;ohc;4;109;mpfi;85;5250;27;34;8495
volkswagen;diesel;turbo;4;sedan;fwd;front;171.7;65.5;55.7;ohc;4;97;idi;68;4500;37;42;9495
volkswagen;gas;std;4;sedan;fwd;front;171.7;65.5;55.7;ohc;4;109;mpfi;100;5500;26;32;9995
volkswagen;gas;std;2;convertible;fwd;front;159.3;64.2;55.6;ohc;4;109;mpfi;90;5500;24;29;11595
volkswagen;gas;std;2;hatchback;fwd;front;165.7;64;51.4;ohc;4;109;mpfi;90;5500;24;29;9980
volkswagen;gas;std;4;sedan;fwd;front;180.2;66.9;55.1;ohc;5;136;mpfi;110;5500;19;24;13295
volkswagen;diesel;turbo;4;sedan;fwd;front;180.2;66.9;55.1;ohc;4;97;idi;68;4500;33;38;13845
volkswagen;gas;std;4;wagon;fwd;front;183.1;66.9;55.1;ohc;4;109;mpfi;88;5500;25;31;12290
volvo;gas;std;4;sedan;rwd;front;188.8;67.2;56.2;ohc;4;141;mpfi;114;5400;23;28;12940
volvo;gas;std;4;wagon;rwd;front;188.8;67.2;57.5;ohc;4;141;mpfi;114;5400;23;28;13415
volvo;gas;std;4;sedan;rwd;front;188.8;67.2;56.2;ohc;4;141;mpfi;114;5400;24;28;15985
volvo;gas;std;4;wagon;rwd;front;188.8;67.2;57.5;ohc;4;141;mpfi;114;5400;24;28;16515
volvo;gas;turbo;4;sedan;rwd;front;188.8;67.2;56.2;ohc;4;130;mpfi;162;5100;17;22;18420
volvo;gas;turbo;4;wagon;rwd;front;188.8;67.2;57.5;ohc;4;130;mpfi;162;5100;17;22;18950
volvo;gas;std;4;sedan;rwd;front;188.8;68.9;55.5;ohc;4;141;mpfi;114;5400;23;28;16845
volvo;gas;turbo;4;sedan;rwd;front;188.8;68.8;55.5;ohc;4;141;mpfi;160;5300;19;25;19045
volvo;gas;std;4;sedan;rwd;front;188.8;68.9;55.5;ohcv;6;173;mpfi;134;5500;18;23;21485
volvo;diesel;turbo;4;sedan;rwd;front;188.8;68.9;55.5;ohc;6;145;idi;106;4800;26;27;22470
volvo;gas;turbo;4;sedan;rwd;front;188.8;68.9;55.5;ohc;4;141;mpfi;114;5400;19;25;22625
